Index #,Timestamp,Formal section,Gender,Function,Vocal delivery,Environment,Layering,Width
72,49.01485261,Chorus,M,Feat,S,E4,L1,W4
,,,,,,,,
72,78.41891157,Verse,M,Main,R,E2,L1,W4
,,,,,,,,
73,10.11902494,Verse,W,Neither,S,E4,L1,W3
,,,,,,,,
73,47.6630839,Chorus,W,Neither,S,E1,L4,W5
,,,,,,,,
74,9.914229167,Verse,W,Neither,S,E2,L1,W2
,,,,,,,,
74,29.52035417,Chorus,W,Neither,S,E4,L2,W4
,,,,,,,,
75,26.52714286,Chorus,M,Main,S,E3,L1,W4
,,,,,,,,
75,52.77272109,Verse,M,Main,S,E3,L1,W4
,,,,,,,,
76,18.41952083,Verse,M,Neither,S,E2,L1,W4
,,,,,,,,
76,48.928875,Chorus,M,Neither,S,E2,L4,W5
,,,,,,,,
77,9.827528345,Verse,W,Neither,S,E4,L1,W4
,,,,,,,,
77,38.63226757,Chorus,W,Neither,S,E4,L4,W5
,,,,,,,,
78,37.37605442,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
78,101.3722449,Chorus,M,Main,S,E3,L1,W4
,,,,,,,,
79,38.42654167,Chorus,M,Main,S,E1,L1,W2
,,,,,,,,
79,57.65022917,Verse,M,Main,R,E1,L1,W2
,,,,,,,,
80,20.78111111,Verse,M,Main,S,E4,L1,W4
,,,,,,,,
80,62.10557823,Chorus,M,Main,S,E4,L4,W5
,,,,,,,,
81,9.387029478,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
81,45.65024943,Chorus,M,Main,S,E1,L4,W5
,,,,,,,,
82,20.40301587,Verse,M,Main,S,E3,L1,W4
,,,,,,,,
82,58.81802721,Chorus,M,Main,S,E3,L1,W4
,,,,,,,,
83,14.01566667,Chorus,W,Neither,S,E2,L1,W4
,,,,,,,,
83,41.845125,Verse,M,Neither,R,E2,L1,W2
,,,,,,,,
84,19.4653125,Verse,W,Neither,S,E4,L1,W4
,,,,,,,,
84,57.18116667,Chorus,W,Neither,S,E4,L5,W4
,,,,,,,,
85,109.7569841,Verse,W,Feat,S,E2,L2,W3
,,,,,,,,
85,192.0871882,Chorus,M,Main,R,E2,L1,W4
,,,,,,,,
86,12.90872917,Chorus,M,Main,R,E3,L1,W3
,,,,,,,,
86,38.48058333,Verse,M,Main,R,E3,L1,W3
,,,,,,,,
87,12.09471655,Chorus,M,Main,S,E4,L3,W4
,,,,,,,,
87,37.58741497,Verse,M,Main,S,E4,L1,W4
,,,,,,,,
89,0,Chorus,M,Main,S,E4,L1,W4
,,,,,,,,
89,23.80634921,Verse,M,Main,S,E4,L1,W4
,,,,,,,,
90,55.44210884,Chorus,M,Feat,S,E1,L1,W1
,,,,,,,,
90,92.34646259,Verse,M,Feat,S,E1,L1,W1
,,,,,,,,
92,5.099625,Verse,W,Main,S,E3,L1,W4
,,,,,,,,
92,55.62702083,Chorus,W,Main,S,E2,L3,W5
,,,,,,,,
93,31.11725,Verse,M,Neither,S,E1,L3,W2
,,,,,,,,
93,69.10760417,Chorus,W,Neither,S,E1,L1,W1
,,,,,,,,
94,14.84372917,Chorus,W,Main,S,E4,L1,W4
,,,,,,,,
94,29.11414583,Verse,W,Main,S,E1,L1,W2
,,,,,,,,
95,14.90537415,Chorus,M,Main,S,E4,L2,W4
,,,,,,,,
95,44.67725624,Verse,M,Main,S,E4,L1,W4
,,,,,,,,
96,27.54798186,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
96,68.69170068,Chorus,M,Feat,S,E1,L1,W2
,,,,,,,,
97,8.406770833,Verse,M,Main,S,E2,L1,W3
,,,,,,,,
97,37.88858333,Chorus,M,Main,S,E1,L5,W5
,,,,,,,,
98,15.32167801,Chorus,M,Main,R,E1,L1,W1
,,,,,,,,
98,40.55292517,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
100,13.90038549,Chorus,M,Feat,R,E1,L1,W2
,,,,,,,,
100,41.36292517,Verse,M,Feat,R,E1,L1,W1
,,,,,,,,
102,10.04822917,Chorus,W,Main,S,E1,L1,W1
,,,,,,,,
102,28.32727083,Verse,W,Main,S,E2,L2,W3
,,,,,,,,
103,8.675979167,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
103,43.62683333,Chorus,M,Main,S,E3,L3,W5
,,,,,,,,
105,11.61675,Verse,M,Main,S,E1,L1,W2
,,,,,,,,
105,30.06927083,Chorus,M,Main,S,E1,L1,W2
,,,,,,,,
106,10.85072917,Chorus,W,Main,S,E4,L1,W3
,,,,,,,,
106,26.51575,Verse,W,Main,S,E4,L1,W3
,,,,,,,,
107,12.20097506,Verse,W,Feat,S,E5,L1,W4
,,,,,,,,
107,36.26004535,Chorus,W,Feat,S,E5,L3,W5
,,,,,,,,
108,10.36619048,Verse,M,Main,,E1,L1,W1
,,,,,,,,
108,50.74882086,Chorus,M,Main,S,E1,L4,W5
,,,,,,,,
110,9.203900227,Verse,W,Main,S,E4,L1,W4
,,,,,,,,
110,45.79151927,Chorus,W,Main,S,E1,L4,W5
,,,,,,,,
111,0,Chorus,W,Feat,S,E3,L1,W4
,,,,,,,,
111,77.52385488,Verse,W,Feat,S,E3,L2,W4
,,,,,,,,
112,9.605833333,Chorus,W,Neither,S,E4,L1,W4
,,,,,,,,
112,26.6645,Verse,M,Neither,R,E1,L1,W1
,,,,,,,,
113,2.6713125,Verse,M,Neither,S,E2,L1,W3
,,,,,,,,
113,46.6249375,Chorus,M,Neither,S,E1,L3,W2
,,,,,,,,
114,9.782403628,Verse,W,Feat,S,E4,L1,W4
,,,,,,,,
114,86.58165533,Chorus,W,Feat,S,E4,L4,W5
,,,,,,,,
115,24.50225,Verse,M,Main,S,E1,L1,W2
,,,,,,,,
115,73.3351875,Chorus,M,Main,S,E1,L1,W2
,,,,,,,,
116,33.40179138,Verse,M,Feat,S,E3,L1,W4
,,,,,,,,
116,86.71975057,Chorus,M,Feat,S,E3,L1,W4
,,,,,,,,
117,13.13027211,Verse,M,Feat,S,E2,L1,W3
,,,,,,,,
117,78.97526077,Chorus,M,Main,S,E3,L1,W3
,,,,,,,,
119,0,Verse,W,Feat,S,E4,L1,W4
,,,,,,,,
119,23.59222917,Chorus,W,Feat,S,E4,L1,W4
,,,,,,,,
120,0,Verse,W,Neither,S,E2,L1,W4
,,,,,,,,
120,28.7289375,Chorus,W,Neither,S,E1,L4,W5
,,,,,,,,
121,9.648911565,Verse,M,Feat,S,E4,L1,W4
,,,,,,,,
121,48.15326531,Chorus,M,Feat,S,E4,L3,W4
,,,,,,,,
122,0,Chorus,M,Main,S,E1,L1,W1
,,,,,,,,
122,21.05191667,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
123,15.68986395,Verse,M,Main,S,E3,L1,W4
,,,,,,,,
123,56.91272109,Chorus,M,Main,S,E4,L4,W5
,,,,,,,,
124,14.02972789,Verse,M,Feat,R,E1,L1,W1
,,,,,,,,
124,60.32861678,Chorus,M,Feat,S,E3,L1,W3
,,,,,,,,
125,6.929614512,Verse,W,Feat,S,E4,L1,W4
,,,,,,,,
125,39.98684807,Chorus,W,Feat,S,E4,L4,W5
,,,,,,,,
126,7.807916667,Verse,M,Main,S,E2,L1,W4
,,,,,,,,
126,52.23195833,Chorus,M,Main,S,E4,L4,W5
,,,,,,,,
128,18.80085417,Chorus,M,Main,R,E2,L1,W3
,,,,,,,,
128,31.39827083,Verse,M,Main,R,E2,L1,W1
,,,,,,,,
129,13.63752835,Verse,W,Main,S,E3,L1,W3
,,,,,,,,
129,49.85260771,Chorus,W,Main,S,E3,L4,W5
,,,,,,,,
130,7.322721088,Verse,M,Feat,S,E1,L3,W5
,,,,,,,,
130,50.36702948,Chorus,M,Feat,S,E4,L2,W5
,,,,,,,,
131,15.97034014,Chorus,M,Main,R,E2,L1,W3
,,,,,,,,
131,30.48433107,Verse,M,Main,R,E2,L1,W3
,,,,,,,,
133,15.28312925,Chorus,M,Main,S,E3,L2,W4
,,,,,,,,
133,45.49614513,Verse,M,Main,S,E3,L2,W4
,,,,,,,,
134,29.61675737,Chorus,M,Main,R,E1,L1,W1
,,,,,,,,
134,59.18136054,Verse,M,Main,R,E1,L1,W1
